Sample_ID,pH,Gravimetric_Water,Ec,BG,CBH,PHOS,NAG,BX,AG,LAP,PHENOX,PEROX,Wt..N.,Wt..C.,C.N.ratio
D11A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D11B,4.77,2.34,293,350.0910863,174.0939672,2840.607981,577.8813187,160.3691869,27.88787385,224.5983607,0,191.5774943,1.476949484,34.59049349,24.83900972
D12A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D12B,5.08,1.96,247.5,433.0114198,127.2026757,2886.296676,908.142393,145.6613823,34.39335188,193.2403659,0,0,1.214380724,32.40660225,28.85093543
D21A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D21B,5.29,1.02,192.1,502.6738716,300.1363169,1460.081472,597.9264531,194.1770564,25.53874173,186.4046148,0,184.1372241,1.099407043,25.84518633,26.30923387
D22A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D22B,5.75,1.24,155.6,174.80877,80.32740556,571.6808598,163.2014026,12.99659832,0,405.4984981,0,0,1.324805063,31.88066978,25.87888656
D51A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D51B,5.22,0.7687,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4749,11.1648,23.50979154
D52A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D52B,6.03,0.45499,256,64.3432284,22.76222145,370.1607797,248.1758654,28.96958504,5.656563746,141.4205433,8.465024876,8.794704179,0.3149,7.2317,22.96506828
D61A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D61B,4.9725,0.863,444,260.2991608,110.9646365,743.9837605,684.5660038,98.29644588,144.2263642,167.0593956,25.09390009,0,0.5314,11.8339,22.26928867
D62A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D62B,5.12,0.98,297,257.3322743,107.5172188,772.497312,286.3847063,84.31359047,29.25107884,135.4820468,37.63050972,0,0.5871,11.0171,18.765287
H11A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H11B,4.69,0.205,87.7,129.4883604,33.48910568,553.0999375,69.50110584,86.66766806,32.32763346,85.28755881,56.44514803,1.882326111,0.2625,4.5309,17.26057143
H12A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H12B,4.97,0.158,78.1,77.81345792,23.43741452,294.1550711,66.55599207,32.98858819,15.7004733,36.97617956,39.80545167,10.86799842,0.2265,4.3611,19.25430464
H21A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H21B,5.05,0.23339,89.1,87.68575987,24.57635964,400.9988497,76.56954113,36.0668079,14.29734763,35.69921884,0,7.045482515,0.3099,5.1097,16.48822201
H22A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H22B,4.56,0.291,100.8,80.62555813,21.7549119,595.3873714,61.40791611,42.03921569,13.07008822,22.87457653,0,8.201742058,0.4789,8.678,18.12069326
H41A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H41B,4.61,0.2973,160.1,188.6541725,38.27081619,1250.934425,221.7497731,86.4494956,32.86959075,109.0622756,0,20.83796724,0.6716,11.3974,16.97051817
H42A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H42B,4.77,0.2634,177.8,78.43530981,13.89795991,637.6949022,110.9284301,40.96379763,18.15766147,142.7004882,54.6057147,19.15284066,0.5179,12.321,23.79030701
H51A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H51B,5.21,0.23223,102.4,182.6559845,58.602237,605.7833725,104.7388574,60.81963187,29.02909781,41.98277085,0,17.17410997,0.292,4.7875,16.39554795
H52A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H52B,5.51,0.3615,176.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5789,8.1433,14.06685092
